hotel_name,room_type,max_guests,star_rating,province,district,nearest_cities,activities_at_hotel,nearby_attractions,activities_at_nearby_places,scene_type,image_url,price_per_night_usd,features,description,latitude,longitude
Boutique Hotel In Ahangama,Room in hotel,2,4.48,Southern Province,Galle District,"Ahangama, Unawatuna, Galle",Tea tasting at a nearby tea estate; Guided tea plantation walk; Tea factory tour; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided tea plantation walks; Tea factory tours and tea tasting; Scenic walks through tea fields; Learning the tea production process; Meeting local tea pickers; Photography of rolling hills and plantations; Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching,hotel | lobby | luxury,https://images.pexels.com/photos/28843952/pexels-photo-28843952.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$123,Beach Access; Spa & Wellness; Restaurant On-site; Air Conditioning; Free WiFi,"Indulge in effortless elegance at Boutique Hotel In Ahangama, a sophisticated hotel room in Ahangama where Beach Access and Spa & Wellness set the tone for an unforgettable stay.",6.011103,80.26414
Nirbana River View Suite,Room in hotel,2,4.44,Western Province,Kalutara District,"Bentota, Kandy, Ella",River swimming; River boat rides; Fishing in the river; Riverside walks and cycling; Scenic viewpoint photography; Sunrise and sunset watching from the property; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Swimming in the nearby lake,Bentota Beach (Beaches); Kalutara Beach (Beaches); Bentota River Safari (Lagoons & Wetlands); Kalutara Bodhiya (Religious Sites); Beruwala Beach (Beaches); Kande Vihara Aluthgama (Religious Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking,river | nature | tropical,https://images.pexels.com/photos/3914755/pexels-photo-3914755.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$71,Beach Access; Restaurant On-site; Air Conditioning; Free WiFi,"Immerse yourself in the green serenity of Bentota's natural landscape at Nirbana River View Suite, a tropical hotel room retreat with Beach Access and Restaurant On-site.",6.583056,79.946054
Galle beach apartment 10 mins away from the beach,Entire rental unit,6,4.89,Southern Province,Galle District,"Hikkaduwa, Mirissa, Bentota",Swimming in the ocean; Surfing and bodyboarding; Sunbathing on the beach; Beach walks at sunrise and sunset; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,beach | tropical | ocean,https://images.pexels.com/photos/12389419/pexels-photo-12389419.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$99,Beach Access; Ocean View; Full Kitchen; Family Friendly; Air Conditioning; Free WiFi,Wake up to the sound of waves at Galle beach apartment 10 mins away from the beach — a sun-drenched apartment retreat in Hikkaduwa with direct beach access and Beach Access.,6.092932,80.197908
Rambutan Watta,Entire home,8,4.83,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/19260324/pexels-photo-19260324.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$116,Beach Access; Full Kitchen; Family Friendly; Free Parking; Air Conditioning; Free WiFi,Rambutan Watta is a comfortable home retreat in Colombo — a perfect base for exploring Mount Lavinia Beach with the comfort of Beach Access and Full Kitchen.,6.971812,79.879511
LUXURY RESORT CTY CNTER  APARTMENT,Entire rental unit,4,4.93,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/28915352/pexels-photo-28915352.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$93,Beach Access; Full Kitchen; Restaurant On-site; Air Conditioning; Free WiFi,"Enjoy an authentic stay at LUXURY RESORT CTY CNTER  APARTMENT, a well-appointed apartment in Colombo with Beach Access and a short distance from Mount Lavinia Beach.",6.968093,79.8611
New 3br/3bth Apartment in Colombo 05 (Teshta - 2F),Entire rental unit,6,5,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/36489548/pexels-photo-36489548.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$88,Beach Access; Full Kitchen; Family Friendly; Air Conditioning; Free WiFi,"Discover genuine Sri Lankan warmth at New 3br/3bth Apartment in Colombo 05 (Teshta - 2F), a welcoming apartment in Colombo offering Beach Access, Full Kitchen, and easy access to Mount Lavinia Beach.",6.897067,79.884743
2 Bed Rooms Tropical Villas by Tisara Spa,Entire villa,4,4.02,Southern Province,Galle District,"Galle, Unawatuna",Spa treatments and massages; Body scrubs and wellness therapies; Relaxation sessions; Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area; Bird watching in the nearby forest; Eco tour in the nature reserve; Swimming at the nearby beach; Surfing and bodyboarding at the beach,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops; Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography,spa | wellness | relaxation,https://images.pexels.com/photos/33640920/pexels-photo-33640920.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$238,Beach Access; Full Kitchen; Free Parking; Free WiFi,"Enjoy an authentic stay at 2 Bed Rooms Tropical Villas by Tisara Spa, a well-appointed villa in Galle with Beach Access and a short distance from Hikkaduwa Beach.",6.090774,80.191678
Medusa (by labestia collective),Entire rental unit,2,4.64,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/33824479/pexels-photo-33824479.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$83,Beach Access; Full Kitchen; Air Conditioning; Free WiFi,Medusa (by labestia collective) is a comfortable apartment retreat in Colombo — a perfect base for exploring Mount Lavinia Beach with the comfort of Beach Access and Full Kitchen.,6.897377,79.83617
The Seascape - Matara - S - Room 6,Room in boutique hotel,2,4.25,Southern Province,Matara District,"Mirissa, Weligatta",Swimming in the sea; Sea-view relaxation; Sunset watching over the sea; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Jeep safari to the nearby national park; Bird watching in the national park; Wildlife photography on a guided tour,Mirissa Beach (Beaches); Weligama Beach (Beaches); Parrot Rock Mirissa (Viewpoints); Mirissa Whale Watching (Adventure & Sports); Dondra Head Lighthouse (Viewpoints); Weherehena Temple Matara (Religious Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Jeep safari to spot elephants and leopards; Bird watching with a local guide; Wildlife tracking walks; Nature photography,boutique | hotel | elegant,https://images.pexels.com/photos/28408342/pexels-photo-28408342.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$121,Beach Access; Spa & Wellness; Restaurant On-site; Air Conditioning; Free WiFi,The Seascape - Matara - S - Room 6 is a comfortable boutique room retreat in Mirissa — a perfect base for exploring Mirissa Beach with the comfort of Beach Access and Spa & Wellness.,5.96676,80.5206
Luxury Serviced Apartment in Fairway Galle,Entire serviced apartment,6,4.67,Central Province,Nuwara Eliya District,Nuwara Eliya,Swimming in the nearby lake; Boat ride on the nearby lake or river; Fishing at the nearby lake; Kayaking in the nearby water; Tea tasting at a nearby tea estate; Guided tea plantation walk; Tea factory tour; Day visit to nearby botanical gardens; Photography walk through scenic gardens; Jeep safari to the nearby national park; Bird watching in the national park; Wildlife photography on a guided tour,Horton Plains National Park (National Parks); Hakgala Botanic Gardens (Gardens); Victoria Park Nuwara Eliya (Gardens); Pedro Tea Factory (Farms); Bluefield Tea Gardens (Farms); Ambewela Farms (Farms),Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking; Kayaking and canoeing; Sunset viewing over the water; Bird watching around the lake; Guided tea plantation walks; Tea factory tours and tea tasting; Scenic walks through tea fields; Learning the tea production process; Meeting local tea pickers,apartment | modern | city,https://images.pexels.com/photos/31817160/pexels-photo-31817160.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$126,Full Kitchen; Family Friendly; Air Conditioning; Free WiFi,"Luxury Serviced Apartment in Fairway Galle places you at the heart of Nuwara Eliya's vibrant scene, delivering a modern serviced apartment stay with Full Kitchen and easy exploration of Horton Plains National Park.",6.910369,80.831119
